Record,Group,Matrix,Nanomaterial,Dose,Units,Organism,Endpoint,Response,Direction,Link
2227,2021,Dispersive,Carbon Nanotubes,100,mg/l,Chlorella,Inhibition ratio,70.79,More,http://dx.doi.org/10.1021/es301802g
2228,2022,Dispersive,Carbon Nanotubes,0,mg/l,Chlorella,MDA content,0,Less,http://dx.doi.org/10.1021/es301802g
2229,2022,Dispersive,Carbon Nanotubes,5,mg/l,Chlorella,MDA content,0.166667,Less,http://dx.doi.org/10.1021/es301802g
2230,2022,Dispersive,Carbon Nanotubes,10,mg/l,Chlorella,MDA content,0.6,Less,http://dx.doi.org/10.1021/es301802g
2231,2022,Dispersive,Carbon Nanotubes,20,mg/l,Chlorella,MDA content,1.566667,Less,http://dx.doi.org/10.1021/es301802g
2232,2022,Dispersive,Carbon Nanotubes,50,mg/l,Chlorella,MDA content,3.2,Less,http://dx.doi.org/10.1021/es301802g
2233,2022,Dispersive,Carbon Nanotubes,100,mg/l,Chlorella,MDA content,3.7,Less,http://dx.doi.org/10.1021/es301802g
2228,2023,Dispersive,Carbon Nanotubes,0,mg/l,Chlorella,MDA content,0,Less,http://dx.doi.org/10.1021/es301802g
2234,2023,Dispersive,Carbon Nanotubes,5,mg/l,Chlorella,MDA content,0.166667,Less,http://dx.doi.org/10.1021/es301802g
2235,2023,Dispersive,Carbon Nanotubes,10,mg/l,Chlorella,MDA content,0.833333,Less,http://dx.doi.org/10.1021/es301802g
2236,2023,Dispersive,Carbon Nanotubes,20,mg/l,Chlorella,MDA content,2.2,Less,http://dx.doi.org/10.1021/es301802g
2237,2023,Dispersive,Carbon Nanotubes,50,mg/l,Chlorella,MDA content,3.5,Less,http://dx.doi.org/10.1021/es301802g
2238,2023,Dispersive,Carbon Nanotubes,100,mg/l,Chlorella,MDA content,3.833333,Less,http://dx.doi.org/10.1021/es301802g
2228,2024,Dispersive,Carbon Nanotubes,0,mg/l,Chlorella,MDA content,0,Less,http://dx.doi.org/10.1021/es301802g
2239,2024,Dispersive,Carbon Nanotubes,5,mg/l,Chlorella,MDA content,0.333333,Less,http://dx.doi.org/10.1021/es301802g
2240,2024,Dispersive,Carbon Nanotubes,10,mg/l,Chlorella,MDA content,0.733333,Less,http://dx.doi.org/10.1021/es301802g
2241,2024,Dispersive,Carbon Nanotubes,20,mg/l,Chlorella,MDA content,2.133333,Less,http://dx.doi.org/10.1021/es301802g
2242,2024,Dispersive,Carbon Nanotubes,50,mg/l,Chlorella,MDA content,3.666667,Less,http://dx.doi.org/10.1021/es301802g
2243,2024,Dispersive,Carbon Nanotubes,100,mg/l,Chlorella,MDA content,3.766667,Less,http://dx.doi.org/10.1021/es301802g
2244,2025,Dispersive,Carbon Nanotubes,0,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0,More,http://dx.doi.org/10.1021/es301802g
2245,2025,Dispersive,Carbon Nanotubes,5,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0.199029,More,http://dx.doi.org/10.1021/es301802g
2246,2025,Dispersive,Carbon Nanotubes,10,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0.318307,More,http://dx.doi.org/10.1021/es301802g
2247,2025,Dispersive,Carbon Nanotubes,20,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0.856715,More,http://dx.doi.org/10.1021/es301802g
2248,2025,Dispersive,Carbon Nanotubes,50,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0.974804,More,http://dx.doi.org/10.1021/es301802g
2249,2025,Dispersive,Carbon Nanotubes,100,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0.922905,More,http://dx.doi.org/10.1021/es301802g
2244,2026,Dispersive,Carbon Nanotubes,0,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0,More,http://dx.doi.org/10.1021/es301802g
2250,2026,Dispersive,Carbon Nanotubes,5,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0.148678,More,http://dx.doi.org/10.1021/es301802g
2251,2026,Dispersive,Carbon Nanotubes,10,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0.436526,More,http://dx.doi.org/10.1021/es301802g
2252,2026,Dispersive,Carbon Nanotubes,20,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0.643904,More,http://dx.doi.org/10.1021/es301802g
2253,2026,Dispersive,Carbon Nanotubes,50,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0.791753,More,http://dx.doi.org/10.1021/es301802g
2254,2026,Dispersive,Carbon Nanotubes,100,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0.872004,More,http://dx.doi.org/10.1021/es301802g
2244,2027,Dispersive,Carbon Nanotubes,0,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0,More,http://dx.doi.org/10.1021/es301802g
2255,2027,Dispersive,Carbon Nanotubes,5,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0.173005,More,http://dx.doi.org/10.1021/es301802g
2256,2027,Dispersive,Carbon Nanotubes,10,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0.434978,More,http://dx.doi.org/10.1021/es301802g
2257,2027,Dispersive,Carbon Nanotubes,20,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0.799513,More,http://dx.doi.org/10.1021/es301802g
2258,2027,Dispersive,Carbon Nanotubes,50,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0.837511,More,http://dx.doi.org/10.1021/es301802g
2259,2027,Dispersive,Carbon Nanotubes,100,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0.812395,More,http://dx.doi.org/10.1021/es301802g
2260,2028,Dispersive,Carbon Nanotubes,0,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0,More,http://dx.doi.org/10.1021/es301802g
2261,2028,Dispersive,Carbon Nanotubes,5,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0.366017,More,http://dx.doi.org/10.1021/es301802g
2262,2028,Dispersive,Carbon Nanotubes,10,mg/l,Chlorella,Reactive oxygen species (ROS) level ,1.584779,More,http://dx.doi.org/10.1021/es301802g
2263,2028,Dispersive,Carbon Nanotubes,20,mg/l,Chlorella,Reactive oxygen species (ROS) level ,1.695258,More,http://dx.doi.org/10.1021/es301802g
2264,2028,Dispersive,Carbon Nanotubes,50,mg/l,Chlorella,Reactive oxygen species (ROS) level ,1.677636,More,http://dx.doi.org/10.1021/es301802g
2265,2028,Dispersive,Carbon Nanotubes,100,mg/l,Chlorella,Reactive oxygen species (ROS) level ,1.836844,More,http://dx.doi.org/10.1021/es301802g
2260,2029,Dispersive,Carbon Nanotubes,0,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0,More,http://dx.doi.org/10.1021/es301802g
2266,2029,Dispersive,Carbon Nanotubes,5,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0.107075,More,http://dx.doi.org/10.1021/es301802g
2267,2029,Dispersive,Carbon Nanotubes,10,mg/l,Chlorella,Reactive oxygen species (ROS) level ,1.110786,More,http://dx.doi.org/10.1021/es301802g
2268,2029,Dispersive,Carbon Nanotubes,20,mg/l,Chlorella,Reactive oxygen species (ROS) level ,1.521762,More,http://dx.doi.org/10.1021/es301802g
2269,2029,Dispersive,Carbon Nanotubes,50,mg/l,Chlorella,Reactive oxygen species (ROS) level ,1.636377,More,http://dx.doi.org/10.1021/es301802g
2270,2029,Dispersive,Carbon Nanotubes,100,mg/l,Chlorella,Reactive oxygen species (ROS) level ,1.927139,More,http://dx.doi.org/10.1021/es301802g
2260,2030,Dispersive,Carbon Nanotubes,0,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0,More,http://dx.doi.org/10.1021/es301802g
2271,2030,Dispersive,Carbon Nanotubes,5,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0.169458,More,http://dx.doi.org/10.1021/es301802g
2272,2030,Dispersive,Carbon Nanotubes,10,mg/l,Chlorella,Reactive oxygen species (ROS) level ,1.227498,More,http://dx.doi.org/10.1021/es301802g
2273,2030,Dispersive,Carbon Nanotubes,20,mg/l,Chlorella,Reactive oxygen species (ROS) level ,1.623139,More,http://dx.doi.org/10.1021/es301802g
2274,2030,Dispersive,Carbon Nanotubes,50,mg/l,Chlorella,Reactive oxygen species (ROS) level ,1.590883,More,http://dx.doi.org/10.1021/es301802g
2275,2030,Dispersive,Carbon Nanotubes,100,mg/l,Chlorella,Reactive oxygen species (ROS) level ,1.818678,More,http://dx.doi.org/10.1021/es301802g
2276,2031,Dispersive,Carbon Nanotubes,0,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0,More,http://dx.doi.org/10.1021/es301802g
2277,2031,Dispersive,Carbon Nanotubes,5,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0.014066,More,http://dx.doi.org/10.1021/es301802g
2278,2031,Dispersive,Carbon Nanotubes,10,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0.257327,More,http://dx.doi.org/10.1021/es301802g
2279,2031,Dispersive,Carbon Nanotubes,20,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0.298138,More,http://dx.doi.org/10.1021/es301802g
2280,2031,Dispersive,Carbon Nanotubes,50,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0.24353,More,http://dx.doi.org/10.1021/es301802g
2281,2031,Dispersive,Carbon Nanotubes,100,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0.326399,More,http://dx.doi.org/10.1021/es301802g
2276,2032,Dispersive,Carbon Nanotubes,0,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0,More,http://dx.doi.org/10.1021/es301802g
2282,2032,Dispersive,Carbon Nanotubes,5,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0.066639,More,http://dx.doi.org/10.1021/es301802g
2283,2032,Dispersive,Carbon Nanotubes,10,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0.064506,More,http://dx.doi.org/10.1021/es301802g
2284,2032,Dispersive,Carbon Nanotubes,20,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0.168378,More,http://dx.doi.org/10.1021/es301802g
2285,2032,Dispersive,Carbon Nanotubes,50,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0.18667,More,http://dx.doi.org/10.1021/es301802g
2286,2032,Dispersive,Carbon Nanotubes,100,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0.175186,More,http://dx.doi.org/10.1021/es301802g
2276,2033,Dispersive,Carbon Nanotubes,0,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0,More,http://dx.doi.org/10.1021/es301802g
2287,2033,Dispersive,Carbon Nanotubes,5,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0.021941,More,http://dx.doi.org/10.1021/es301802g
2288,2033,Dispersive,Carbon Nanotubes,10,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0.204424,More,http://dx.doi.org/10.1021/es301802g
2289,2033,Dispersive,Carbon Nanotubes,20,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0.325103,More,http://dx.doi.org/10.1021/es301802g
2290,2033,Dispersive,Carbon Nanotubes,50,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0.262221,More,http://dx.doi.org/10.1021/es301802g
2291,2033,Dispersive,Carbon Nanotubes,100,mg/l,Chlorella,Reactive oxygen species (ROS) level ,0.346794,More,http://dx.doi.org/10.1021/es301802g
2405,2034,Dispersive,Carbon Nanotubes,0,mg/l,Medicago sativa,Germination percentage,0,Less,http://dx.doi.org/10.1098/rsif.2012.0535
2406,2034,Dispersive,Carbon Nanotubes,40,mg/l,Medicago sativa,Germination percentage,0.034618,Less,http://dx.doi.org/10.1098/rsif.2012.0535
2407,2034,Dispersive,Carbon Nanotubes,80,mg/l,Medicago sativa,Germination percentage,0.069225,Less,http://dx.doi.org/10.1098/rsif.2012.0535
2408,2034,Dispersive,Carbon Nanotubes,160,mg/l,Medicago sativa,Germination percentage,0.069225,Less,http://dx.doi.org/10.1098/rsif.2012.0535
2409,2034,Dispersive,Carbon Nanotubes,320,mg/l,Medicago sativa,Germination percentage,0.051831,Less,http://dx.doi.org/10.1098/rsif.2012.0535
2410,2034,Dispersive,Carbon Nanotubes,640,mg/l,Medicago sativa,Germination percentage,0.000862,Less,http://dx.doi.org/10.1098/rsif.2012.0535
2411,2034,Dispersive,Carbon Nanotubes,1280,mg/l,Medicago sativa,Germination percentage,0.029636,Less,http://dx.doi.org/10.1098/rsif.2012.0535
2412,2034,Dispersive,Carbon Nanotubes,2560,mg/l,Medicago sativa,Germination percentage,0.003641,Less,http://dx.doi.org/10.1098/rsif.2012.0535
2413,2035,Dispersive,Carbon Nanotubes,0,mg/l,Medicago sativa,Germination percentage,0,Less,http://dx.doi.org/10.1098/rsif.2012.0535
2414,2035,Dispersive,Carbon Nanotubes,10,mg/l,Medicago sativa,Germination percentage,0.03498,Less,http://dx.doi.org/10.1098/rsif.2012.0535
2415,2035,Dispersive,Carbon Nanotubes,20,mg/l,Medicago sativa,Germination percentage,0.036024,Less,http://dx.doi.org/10.1098/rsif.2012.0535
2416,2035,Dispersive,Carbon Nanotubes,40,mg/l,Medicago sativa,Germination percentage,0.064012,Less,http://dx.doi.org/10.1098/rsif.2012.0535
2417,2035,Dispersive,Carbon Nanotubes,80,mg/l,Medicago sativa,Germination percentage,0.118198,Less,http://dx.doi.org/10.1098/rsif.2012.0535
2418,2035,Dispersive,Carbon Nanotubes,160,mg/l,Medicago sativa,Germination percentage,0.017234,Less,http://dx.doi.org/10.1098/rsif.2012.0535
2419,2035,Dispersive,Carbon Nanotubes,320,mg/l,Medicago sativa,Germination percentage,0.083975,Less,http://dx.doi.org/10.1098/rsif.2012.0535
2420,2035,Dispersive,Carbon Nanotubes,640,mg/l,Medicago sativa,Germination percentage,0.050029,Less,http://dx.doi.org/10.1098/rsif.2012.0535
2421,2036,Dispersive,Carbon Nanotubes,0,mg/l,Medicago sativa,Germination Index,0,More,http://dx.doi.org/10.1098/rsif.2012.0535
2422,2036,Dispersive,Carbon Nanotubes,40,mg/l,Medicago sativa,Germination Index,0.074046,More,http://dx.doi.org/10.1098/rsif.2012.0535
2423,2036,Dispersive,Carbon Nanotubes,80,mg/l,Medicago sativa,Germination Index,0.04675,More,http://dx.doi.org/10.1098/rsif.2012.0535
2424,2036,Dispersive,Carbon Nanotubes,160,mg/l,Medicago sativa,Germination Index,0.212105,More,http://dx.doi.org/10.1098/rsif.2012.0535
2425,2036,Dispersive,Carbon Nanotubes,320,mg/l,Medicago sativa,Germination Index,0.046559,More,http://dx.doi.org/10.1098/rsif.2012.0535
2426,2036,Dispersive,Carbon Nanotubes,640,mg/l,Medicago sativa,Germination Index,0.084502,More,http://dx.doi.org/10.1098/rsif.2012.0535
2427,2036,Dispersive,Carbon Nanotubes,1280,mg/l,Medicago sativa,Germination Index,0.153732,More,http://dx.doi.org/10.1098/rsif.2012.0535
2428,2036,Dispersive,Carbon Nanotubes,2560,mg/l,Medicago sativa,Germination Index,0.021063,More,http://dx.doi.org/10.1098/rsif.2012.0535
2429,2037,Dispersive,Carbon Nanotubes,0,mg/l,Medicago sativa,Germination Index,0,More,http://dx.doi.org/10.1098/rsif.2012.0535
2430,2037,Dispersive,Carbon Nanotubes,10,mg/l,Medicago sativa,Germination Index,0.133557,More,http://dx.doi.org/10.1098/rsif.2012.0535
2431,2037,Dispersive,Carbon Nanotubes,20,mg/l,Medicago sativa,Germination Index,0.105926,More,http://dx.doi.org/10.1098/rsif.2012.0535
2432,2037,Dispersive,Carbon Nanotubes,40,mg/l,Medicago sativa,Germination Index,0.22006,More,http://dx.doi.org/10.1098/rsif.2012.0535
2433,2037,Dispersive,Carbon Nanotubes,80,mg/l,Medicago sativa,Germination Index,0.132333,More,http://dx.doi.org/10.1098/rsif.2012.0535
2434,2037,Dispersive,Carbon Nanotubes,160,mg/l,Medicago sativa,Germination Index,0.194426,More,http://dx.doi.org/10.1098/rsif.2012.0535
2435,2037,Dispersive,Carbon Nanotubes,320,mg/l,Medicago sativa,Germination Index,0.198409,More,http://dx.doi.org/10.1098/rsif.2012.0535
2436,2037,Dispersive,Carbon Nanotubes,640,mg/l,Medicago sativa,Germination Index,0.075045,More,http://dx.doi.org/10.1098/rsif.2012.0535
2437,2038,Dispersive,Carbon Nanotubes,0,mg/l,Triticum aestivum,Germination percentage,0,Less,http://dx.doi.org/10.1098/rsif.2012.0535
2438,2038,Dispersive,Carbon Nanotubes,40,mg/l,Triticum aestivum,Germination percentage,0.106348,Less,http://dx.doi.org/10.1098/rsif.2012.0535
2439,2038,Dispersive,Carbon Nanotubes,80,mg/l,Triticum aestivum,Germination percentage,0.222231,Less,http://dx.doi.org/10.1098/rsif.2012.0535
2440,2038,Dispersive,Carbon Nanotubes,160,mg/l,Triticum aestivum,Germination percentage,0.001215,Less,http://dx.doi.org/10.1098/rsif.2012.0535
2441,2038,Dispersive,Carbon Nanotubes,320,mg/l,Triticum aestivum,Germination percentage,0.117099,Less,http://dx.doi.org/10.1098/rsif.2012.0535
2442,2038,Dispersive,Carbon Nanotubes,640,mg/l,Triticum aestivum,Germination percentage,0.139162,Less,http://dx.doi.org/10.1098/rsif.2012.0535
2443,2038,Dispersive,Carbon Nanotubes,1280,mg/l,Triticum aestivum,Germination percentage,0.253643,Less,http://dx.doi.org/10.1098/rsif.2012.0535
2444,2038,Dispersive,Carbon Nanotubes,2560,mg/l,Triticum aestivum,Germination percentage,0.31071,Less,http://dx.doi.org/10.1098/rsif.2012.0535
2445,2039,Dispersive,Carbon Nanotubes,0,mg/l,Triticum aestivum,Germination percentage,0,Less,http://dx.doi.org/10.1098/rsif.2012.0535
2446,2039,Dispersive,Carbon Nanotubes,10,mg/l,Triticum aestivum,Germination percentage,0.19469,Less,http://dx.doi.org/10.1098/rsif.2012.0535
2447,2039,Dispersive,Carbon Nanotubes,20,mg/l,Triticum aestivum,Germination percentage,0.250216,Less,http://dx.doi.org/10.1098/rsif.2012.0535
2448,2039,Dispersive,Carbon Nanotubes,40,mg/l,Triticum aestivum,Germination percentage,0.25757,Less,http://dx.doi.org/10.1098/rsif.2012.0535
2449,2039,Dispersive,Carbon Nanotubes,80,mg/l,Triticum aestivum,Germination percentage,0.197101,Less,http://dx.doi.org/10.1098/rsif.2012.0535
2450,2039,Dispersive,Carbon Nanotubes,160,mg/l,Triticum aestivum,Germination percentage,0.220322,Less,http://dx.doi.org/10.1098/rsif.2012.0535
2451,2039,Dispersive,Carbon Nanotubes,320,mg/l,Triticum aestivum,Germination percentage,0.222093,Less,http://dx.doi.org/10.1098/rsif.2012.0535
2452,2039,Dispersive,Carbon Nanotubes,640,mg/l,Triticum aestivum,Germination percentage,0.275036,Less,http://dx.doi.org/10.1098/rsif.2012.0535
2453,2040,Dispersive,Carbon Nanotubes,0,mg/l,Triticum aestivum,Germination Index,0,More,http://dx.doi.org/10.1098/rsif.2012.0535
2454,2040,Dispersive,Carbon Nanotubes,40,mg/l,Triticum aestivum,Germination Index,0.062051,More,http://dx.doi.org/10.1098/rsif.2012.0535
2455,2040,Dispersive,Carbon Nanotubes,80,mg/l,Triticum aestivum,Germination Index,0.24927,More,http://dx.doi.org/10.1098/rsif.2012.0535
2456,2040,Dispersive,Carbon Nanotubes,160,mg/l,Triticum aestivum,Germination Index,0.008124,More,http://dx.doi.org/10.1098/rsif.2012.0535
2457,2040,Dispersive,Carbon Nanotubes,320,mg/l,Triticum aestivum,Germination Index,0.191505,More,http://dx.doi.org/10.1098/rsif.2012.0535
2458,2040,Dispersive,Carbon Nanotubes,640,mg/l,Triticum aestivum,Germination Index,0.275087,More,http://dx.doi.org/10.1098/rsif.2012.0535
2459,2040,Dispersive,Carbon Nanotubes,1280,mg/l,Triticum aestivum,Germination Index,0.610799,More,http://dx.doi.org/10.1098/rsif.2012.0535
2460,2040,Dispersive,Carbon Nanotubes,2560,mg/l,Triticum aestivum,Germination Index,1.21802,More,http://dx.doi.org/10.1098/rsif.2012.0535
2461,2041,Dispersive,Carbon Nanotubes,0,mg/l,Triticum aestivum,Germination Index,0,More,http://dx.doi.org/10.1098/rsif.2012.0535
2462,2041,Dispersive,Carbon Nanotubes,10,mg/l,Triticum aestivum,Germination Index,0.246412,More,http://dx.doi.org/10.1098/rsif.2012.0535
2463,2041,Dispersive,Carbon Nanotubes,20,mg/l,Triticum aestivum,Germination Index,0.515039,More,http://dx.doi.org/10.1098/rsif.2012.0535
2464,2041,Dispersive,Carbon Nanotubes,40,mg/l,Triticum aestivum,Germination Index,0.5717,More,http://dx.doi.org/10.1098/rsif.2012.0535
2465,2041,Dispersive,Carbon Nanotubes,80,mg/l,Triticum aestivum,Germination Index,0.355186,More,http://dx.doi.org/10.1098/rsif.2012.0535
2466,2041,Dispersive,Carbon Nanotubes,160,mg/l,Triticum aestivum,Germination Index,0.274857,More,http://dx.doi.org/10.1098/rsif.2012.0535
2467,2041,Dispersive,Carbon Nanotubes,320,mg/l,Triticum aestivum,Germination Index,0.223799,More,http://dx.doi.org/10.1098/rsif.2012.0535
2468,2041,Dispersive,Carbon Nanotubes,640,mg/l,Triticum aestivum,Germination Index,0.329468,More,http://dx.doi.org/10.1098/rsif.2012.0535
2469,2042,Dispersive,Carbon Nanotubes,0,mg/l,Medicago sativa,Root elongation,0,More,http://dx.doi.org/10.1098/rsif.2012.0535
2470,2042,Dispersive,Carbon Nanotubes,40,mg/l,Medicago sativa,Root elongation,0.546851,More,http://dx.doi.org/10.1098/rsif.2012.0535
2471,2042,Dispersive,Carbon Nanotubes,80,mg/l,Medicago sativa,Root elongation,0.551411,More,http://dx.doi.org/10.1098/rsif.2012.0535
2472,2042,Dispersive,Carbon Nanotubes,160,mg/l,Medicago sativa,Root elongation,0.607882,More,http://dx.doi.org/10.1098/rsif.2012.0535
2473,2042,Dispersive,Carbon Nanotubes,320,mg/l,Medicago sativa,Root elongation,0.573934,More,http://dx.doi.org/10.1098/rsif.2012.0535
2474,2042,Dispersive,Carbon Nanotubes,640,mg/l,Medicago sativa,Root elongation,0.555444,More,http://dx.doi.org/10.1098/rsif.2012.0535
2475,2042,Dispersive,Carbon Nanotubes,1280,mg/l,Medicago sativa,Root elongation,0.699554,More,http://dx.doi.org/10.1098/rsif.2012.0535
2476,2042,Dispersive,Carbon Nanotubes,2560,mg/l,Medicago sativa,Root elongation,0.198577,More,http://dx.doi.org/10.1098/rsif.2012.0535
2477,2043,Dispersive,Carbon Nanotubes,0,mg/l,Medicago sativa,Root elongation,0,More,http://dx.doi.org/10.1098/rsif.2012.0535
2478,2043,Dispersive,Carbon Nanotubes,10,mg/l,Medicago sativa,Root elongation,0.301266,More,http://dx.doi.org/10.1098/rsif.2012.0535
2479,2043,Dispersive,Carbon Nanotubes,20,mg/l,Medicago sativa,Root elongation,0.351685,More,http://dx.doi.org/10.1098/rsif.2012.0535
2480,2043,Dispersive,Carbon Nanotubes,40,mg/l,Medicago sativa,Root elongation,0.426187,More,http://dx.doi.org/10.1098/rsif.2012.0535
2481,2043,Dispersive,Carbon Nanotubes,80,mg/l,Medicago sativa,Root elongation,0.303045,More,http://dx.doi.org/10.1098/rsif.2012.0535
2482,2043,Dispersive,Carbon Nanotubes,160,mg/l,Medicago sativa,Root elongation,0.427966,More,http://dx.doi.org/10.1098/rsif.2012.0535
2483,2043,Dispersive,Carbon Nanotubes,320,mg/l,Medicago sativa,Root elongation,0.427415,More,http://dx.doi.org/10.1098/rsif.2012.0535
2484,2043,Dispersive,Carbon Nanotubes,640,mg/l,Medicago sativa,Root elongation,0.451748,More,http://dx.doi.org/10.1098/rsif.2012.0535
2485,2044,Dispersive,Carbon Nanotubes,0,mg/l,Triticum aestivum,Root elongation,0,More,http://dx.doi.org/10.1098/rsif.2012.0535
2486,2044,Dispersive,Carbon Nanotubes,40,mg/l,Triticum aestivum,Root elongation,0.049225,More,http://dx.doi.org/10.1098/rsif.2012.0535
2487,2044,Dispersive,Carbon Nanotubes,80,mg/l,Triticum aestivum,Root elongation,0.138856,More,http://dx.doi.org/10.1098/rsif.2012.0535
2488,2044,Dispersive,Carbon Nanotubes,160,mg/l,Triticum aestivum,Root elongation,0.208582,More,http://dx.doi.org/10.1098/rsif.2012.0535
